p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw
564.805929,127.90546,118.43421,105.893655,118.026561,159.014638,136.729297,252.118698,66.630363,60.321648,299.700172,303.159788,260.179857,576.122375,66.380315,189.166697,186.789763,18.121242,36.665189,10.564361,177.509427,28.567543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587.079077,128.072775,117.839957,105.075594,118.245888,167.519607,135.740095,250.633893,65.939232,52.085116,294.872571,302.169249,253.852046,579.896503,65.200416,204.607817,186.236025,19.296122,37.761231,10.661393,178.029199,29.862432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594.88074,127.324197,115.646868,102.146451,116.708836,167.554032,130.117467,234.649877,66.182385,48.66488,278.54682,297.849227,251.693176,558.384886,62.862264,205.804098,179.981148,18.893172,36.52578,10.772574,176.276792,28.741387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594.617733,126.750577,114.367554,100.14632,113.685286,166.235862,123.706281,217.101486,62.935551,55.242208,264.458963,291.38921,252.838922,528.71782,59.647632,201.433226,172.398325,18.292662,34.813263,10.696683,165.522906,26.511919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595.436474,126.322509,113.736081,99.548736,109.086288,162.159748,116.366484,198.517899,58.606867,58.59296,257.263128,284.090493,249.562791,492.124761,53.67825,194.211637,168.347222,17.464967,32.456817,10.144739,151.224444,23.687744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595.809102,126.200673,113.63891,99.597619,107.194069,159.057399,111.816866,186.155003,56.356515,59.85904,257.598685,284.157237,225.607587,460.651295,50.060738,189.154327,168.969859,16.13172,29.137268,9.67433,152.481471,24.147662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595.485034,125.131406,111.857082,97.56339,106.232998,159.619974,111.502178,185.522206,47.656272,59.9645,254.618583,273.561694,188.754184,455.60608,47.800381,189.951929,169.900318,15.297814,28.105558,9.084574,138.15254,23.554438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595.843939,124.537565,111.027651,96.137557,103.19428,159.762799,108.119725,178.754873,39.753723,60.056217,241.282111,262.164858,169.433605,440.283574,45.497594,190.273203,165.945548,14.934291,27.909286,8.117401,120.606118,21.803057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595.48367,124.781897,111.27348,96.153061,101.606278,159.081223,104.838945,171.194605,42.017765,60.226098,238.155258,265.16753,179.066768,428.019308,42.953952,189.363523,161.269971,14.595831,27.164389,7.193697,123.79482,21.29963,5.820821,12.833459,6.278029,5.136456,27.193601,12.557884,11.580768,13.510195,20.218012,28.165003,43.174221,8.922379
594.432982,124.152767,110.069075,94.529533,97.490988,154.155713,101.072235,161.937638,44.778318,60.482301,232.566992,265.52619,178.936468,406.746204,38.586618,182.003645,159.93923,13.925201,25.817358,7.123303,127.932816,19.96424,20.434062,53.786121,17.17562,11.786752,86.172237,37.863827,22.12757,32.639278,43.468327,84.616593,131.755008,29.658359
